,Unnamed: 0,id,date,city_name,city_state,voting_intentions
97,97.0,P1,04/09/2022,Araucária,PR,A
98,98.0,P1,04/09/2022,Cabrobó,PE,B
99,99.0,P1,04/09/2022,Igarapé Grande,MA,A
100,100.0,P1,04/09/2022,Ipanema,MG,A
101,101.0,P1,04/09/2022,Franco da Rocha,SP,A
102,102.0,P1,04/09/2022,São Paulo,SP,A
103,103.0,P1,04/09/2022,São Cristóvão,SE,B
104,104.0,P1,04/09/2022,Vila Propício,GO,B
105,105.0,P1,04/09/2022,Mirinzal,MA,A
106,106.0,P1,04/09/2022,Tefé,AM,B
107,107.0,P1,04/09/2022,Parnamirim,RN,A
108,108.0,P1,04/09/2022,Concórdia do Pará,PA,B
109,109.0,P1,04/09/2022,Pacajus,CE,A
110,110.0,P1,04/09/2022,Vilhena,RO,B
111,111.0,P1,04/09/2022,Orleans,SC,B
112,112.0,P1,04/09/2022,São Caetano do Sul,SP,A
113,113.0,P1,04/09/2022,Naviraí,MS,B
114,114.0,P1,04/09/2022,Conceição da Feira,BA,A
115,115.0,P1,04/09/2022,Caicó,RN,B
116,116.0,P1,04/09/2022,São Paulo,SP,A
117,117.0,P1,04/09/2022,Pracuúba,AP,A
118,118.0,P1,04/09/2022,Ponta Grossa,PR,B
119,119.0,P1,04/09/2022,Crixás do Tocantins,TO,B
120,120.0,P1,04/09/2022,Fortaleza,CE,A
121,121.0,P1,04/09/2022,Mariana,MG,A
122,122.0,P1,04/09/2022,Cruzmaltina,PR,B
123,123.0,P1,04/09/2022,Parnaguá,PI,B
124,124.0,P1,04/09/2022,Boa Vista,RR,B
125,125.0,P1,04/09/2022,Santo Antônio do Içá,AM,B
126,126.0,P1,04/09/2022,Teresina,PI,B
127,127.0,P1,04/09/2022,Prata do Piauí,PI,A
128,128.0,P1,04/09/2022,Ouro Branco,MG,A
129,129.0,P1,04/09/2022,Manaquiri,AM,A
130,130.0,P1,04/09/2022,Itapecuru Mirim,MA,A
131,131.0,P1,04/09/2022,Nova Olinda do Norte,AM,B
132,132.0,P1,04/09/2022,Rio Branco,AC,A
133,133.0,P1,04/09/2022,Capitão Poço,PA,B
134,134.0,P1,04/09/2022,Campina do Monte Alegre,SP,B
135,135.0,P1,04/09/2022,Amaraji,PE,A
136,136.0,P1,04/09/2022,Rio das Ostras,RJ,B
137,137.0,P1,04/09/2022,Ribeira do Amparo,BA,A
138,138.0,P1,04/09/2022,Pontalina,GO,A
139,139.0,P1,04/09/2022,Tonantins,AM,A
140,140.0,P1,04/09/2022,São Luís do Quitunde,AL,A
141,141.0,P1,04/09/2022,Ariquemes,RO,A
142,142.0,P1,04/09/2022,Cidade Ocidental,GO,A
143,143.0,P1,04/09/2022,Guabiju,RS,A
144,144.0,P1,04/09/2022,Araraquara,SP,A
145,145.0,P1,04/09/2022,Santana,AP,B
146,146.0,P1,04/09/2022,Alta Floresta,MT,A
147,147.0,P1,04/09/2022,Carmópolis de Minas,MG,A
148,148.0,P1,04/09/2022,Oeiras,PI,B
149,149.0,P1,04/09/2022,Rio das Ostras,RJ,B
150,150.0,P1,04/09/2022,Áurea,RS,A
151,151.0,P1,04/09/2022,Vargem Grande,MA,A
152,152.0,P1,04/09/2022,Barras,PI,A
153,153.0,P1,04/09/2022,Acorizal,MT,A
154,154.0,P1,04/09/2022,Pedra Branca do Amapari,AP,A
155,155.0,P1,04/09/2022,São José das Palmeiras,PR,B
156,156.0,P1,04/09/2022,Analândia,SP,B
157,157.0,P1,04/09/2022,Guarulhos,SP,A
158,158.0,P1,04/09/2022,Linhares,ES,A
159,159.0,P1,04/09/2022,Anagé,BA,A
160,160.0,P1,04/09/2022,Rio das Ostras,RJ,A
161,161.0,P1,04/09/2022,São Paulo,SP,A
162,162.0,P1,04/09/2022,Mundo Novo,MS,A
163,163.0,P1,04/09/2022,Ouricuri,PE,A
164,164.0,P1,04/09/2022,Mariápolis,SP,B
165,165.0,P1,04/09/2022,Garanhuns,PE,A
166,166.0,P1,04/09/2022,Sapiranga,RS,B
167,167.0,P1,04/09/2022,Guaraí,TO,A
168,168.0,P1,04/09/2022,Porto Velho,RO,B
169,169.0,P1,04/09/2022,Porto Walter,AC,B
170,170.0,P1,04/09/2022,Iguaba Grande,RJ,A
171,171.0,P1,04/09/2022,Guapé,MG,A
172,172.0,P1,04/09/2022,Meruoca,CE,A
173,173.0,P1,04/09/2022,Jaguaré,ES,A
174,174.0,P1,04/09/2022,Joaçaba,SC,B
175,175.0,P1,04/09/2022,Ribeirão Pires,SP,B
176,176.0,P1,04/09/2022,Aparecida do Taboado,MS,A
177,177.0,P1,04/09/2022,Reriutaba,CE,B
178,178.0,P1,04/09/2022,Uruguaiana,RS,A
179,179.0,P1,04/09/2022,Guarulhos,SP,B
180,180.0,P1,04/09/2022,Bento Gonçalves,RS,A
181,181.0,P1,04/09/2022,Douradina,MS,A
182,182.0,P1,04/09/2022,Salinas da Margarida,BA,B
183,183.0,P1,04/09/2022,Canguçu,RS,B
184,184.0,P1,04/09/2022,Teófilo Otoni,MG,B
185,185.0,P1,04/09/2022,Capixaba,AC,B
186,186.0,P1,04/09/2022,Serrinha,BA,A
187,187.0,P1,04/09/2022,Mirangaba,BA,B
188,188.0,P1,04/09/2022,Venda Nova do Imigrante,ES,B
189,189.0,P1,04/09/2022,Pirapora do Bom Jesus,SP,A
190,190.0,P1,04/09/2022,Balsas,MA,A
191,191.0,P1,04/09/2022,Manaquiri,AM,B
192,192.0,P1,04/09/2022,Clementina,SP,B
193,193.0,P1,04/09/2022,Nossa Senhora do Socorro,SE,B
194,194.0,P1,04/09/2022,São Bento do Sapucaí,SP,B
195,195.0,P1,04/09/2022,Cruzmaltina,PR,B
196,196.0,P1,04/09/2022,Viana,ES,A
197,197.0,P1,04/09/2022,Cataguases,MG,B
198,198.0,P1,04/09/2022,São Gabriel da Cachoeira,AM,B
199,199.0,P1,04/09/2022,São Miguel Arcanjo,SP,B
200,200.0,P1,04/09/2022,Guarujá,SP,A
201,201.0,P1,04/09/2022,Forquilha,CE,A
202,202.0,P1,04/09/2022,Chapecó,SC,A
203,203.0,P1,04/09/2022,Itaberaba,BA,B
204,204.0,P1,04/09/2022,Maracanã,PA,B
205,205.0,P1,04/09/2022,Anitápolis,SC,B
206,206.0,P1,04/09/2022,Rio das Ostras,RJ,B
207,207.0,P1,04/09/2022,Maceió,AL,A
208,208.0,P1,04/09/2022,Ji-Paraná,RO,B
209,209.0,P1,04/09/2022,Boa Vista,RR,A
210,210.0,P1,04/09/2022,Olinda Nova do Maranhão,MA,A
211,211.0,P1,04/09/2022,Manacapuru,AM,A
212,212.0,P1,04/09/2022,Porto Walter,AC,B
213,213.0,P1,04/09/2022,Jericó,PB,A
214,214.0,P1,04/09/2022,Diamante D'Oeste,PR,B
215,215.0,P1,04/09/2022,Betim,MG,B
216,216.0,P1,04/09/2022,Vila Velha,ES,B
217,217.0,P1,04/09/2022,Limoeiro de Anadia,AL,A
218,218.0,P1,04/09/2022,Vargem Grande,MA,A
219,219.0,P1,04/09/2022,Brasília,DF,B
220,220.0,P1,04/09/2022,Jandaia,GO,A
221,221.0,P1,04/09/2022,Cacimbinhas,AL,A
222,222.0,P1,04/09/2022,Ibirataia,BA,B
223,223.0,P1,04/09/2022,Presidente Prudente,SP,B
224,224.0,P1,04/09/2022,Vila Velha,ES,B
225,225.0,P1,04/09/2022,Pedro Avelino,RN,A
226,226.0,P1,04/09/2022,Natal,RN,B
227,227.0,P1,04/09/2022,Nossa Senhora do Socorro,SE,A
228,228.0,P1,04/09/2022,Catanduvas,PR,B
229,229.0,P1,04/09/2022,Pium,TO,A
230,230.0,P1,04/09/2022,Rurópolis,PA,B
231,231.0,P1,04/09/2022,Coxixola,PB,A
232,232.0,P1,04/09/2022,Camanducaia,MG,B
233,233.0,P1,04/09/2022,Santana da Boa Vista,RS,B
234,234.0,P1,04/09/2022,Santo André,SP,B
235,235.0,P1,04/09/2022,Salinas da Margarida,BA,A
236,236.0,P1,04/09/2022,Brasília,DF,B
237,237.0,P1,04/09/2022,Aquidabã,SE,B
238,238.0,P1,04/09/2022,Santa Luzia do Itanhy,SE,A
239,239.0,P1,04/09/2022,Buriticupu,MA,A
240,240.0,P1,04/09/2022,Uruguaiana,RS,B
241,241.0,P1,04/09/2022,Ilha das Flores,SE,A
242,242.0,P1,04/09/2022,Verdejante,PE,B
243,243.0,P1,04/09/2022,Laranjal do Jari,AP,A
244,244.0,P1,04/09/2022,Juazeiro do Norte,CE,B
245,245.0,P1,04/09/2022,Monte Alegre,RN,B
246,246.0,P1,04/09/2022,Goiatins,TO,A
247,247.0,P1,04/09/2022,Monsenhor Tabosa,CE,A
248,248.0,P1,04/09/2022,Terenos,MS,B
249,249.0,P1,04/09/2022,Uruguaiana,RS,A
250,250.0,P1,04/09/2022,Dianópolis,TO,B
251,251.0,P1,04/09/2022,Senhor do Bonfim,BA,A
252,252.0,P1,04/09/2022,Chapecó,SC,B
253,253.0,P1,04/09/2022,Chapecó,SC,B
254,254.0,P1,04/09/2022,Pimenta Bueno,RO,B
255,255.0,P1,04/09/2022,Paraíba do Sul,RJ,B
256,256.0,P1,04/09/2022,Atibaia,SP,B
257,257.0,P1,04/09/2022,Araxá,MG,B
258,258.0,P1,04/09/2022,Nazaré da Mata,PE,A
259,259.0,P1,04/09/2022,Valença,BA,A
260,260.0,P1,04/09/2022,Salvador,BA,A
261,261.0,P1,04/09/2022,São Miguel do Guaporé,RO,A
262,262.0,P1,04/09/2022,Alterosa,MG,A
263,263.0,P1,04/09/2022,Barra do Rocha,BA,B
264,264.0,P1,04/09/2022,Capivari,SP,A
265,265.0,P1,04/09/2022,Camaragibe,PE,B
266,266.0,P1,04/09/2022,Rio das Ostras,RJ,B
267,267.0,P1,04/09/2022,Iguaí,BA,A
268,268.0,P1,04/09/2022,Cotriguaçu,MT,A
269,269.0,P1,04/09/2022,Vila Velha,ES,B
270,270.0,P1,04/09/2022,Brasília,DF,A
271,271.0,P1,04/09/2022,Natal,RN,A
272,272.0,P1,04/09/2022,Vale de São Domingos,MT,B
273,273.0,P1,04/09/2022,Almirante Tamandaré,PR,B
274,274.0,P1,04/09/2022,Benedito Leite,MA,B
275,275.0,P1,04/09/2022,Jericó,PB,B
276,276.0,P1,04/09/2022,Nossa Senhora de Lourdes,SE,A
277,277.0,P1,04/09/2022,Catuípe,RS,A
278,278.0,P1,04/09/2022,Alto Alegre,RR,A
279,279.0,P1,04/09/2022,Rio Branco,AC,A
280,280.0,P1,04/09/2022,São Paulo,SP,B
281,281.0,P1,04/09/2022,Palmas,TO,A
282,282.0,P1,04/09/2022,Campo Grande,MS,B
283,283.0,P1,04/09/2022,Laranjeiras,SE,A
284,284.0,P1,04/09/2022,Manacapuru,AM,B
285,285.0,P1,04/09/2022,Belém,PA,A
286,286.0,P1,04/09/2022,São Paulo,SP,B
287,287.0,P1,04/09/2022,Quixaba,PE,B
288,288.0,P1,04/09/2022,Erechim,RS,B
289,289.0,P1,04/09/2022,Santa Clara do Sul,RS,B
290,290.0,P1,04/09/2022,Talismã,TO,B
291,291.0,P1,04/09/2022,Tatuí,SP,B
292,292.0,P1,04/09/2022,Barra do Garças,MT,B
293,293.0,P1,04/09/2022,Oeiras do Pará,PA,B
294,294.0,P1,04/09/2022,Jutaí,AM,B
295,295.0,P1,04/09/2022,Pimenta Bueno,RO,A
296,296.0,P1,04/09/2022,Xapuri,AC,A
297,297.0,P1,04/09/2022,Sapopema,PR,B
298,298.0,P1,04/09/2022,Esperantina,PI,A
299,299.0,P1,04/09/2022,Tombos,MG,A
300,300.0,P1,04/09/2022,Serra Nova Dourada,MT,B
301,301.0,P1,04/09/2022,Nova Canaã do Norte,MT,B
302,302.0,P1,04/09/2022,Fortaleza,CE,B
303,303.0,P1,04/09/2022,Brasília,DF,B
304,304.0,P1,04/09/2022,União,PI,A
305,305.0,P1,04/09/2022,Mazagão,AP,A
306,306.0,P1,04/09/2022,Castanheira,MT,B
307,307.0,P1,04/09/2022,Laranjal do Jari,AP,B
308,308.0,P1,04/09/2022,Laranjal do Jari,AP,A
309,309.0,P1,04/09/2022,Taperoá,PB,A
310,310.0,P1,04/09/2022,Mauá,SP,B
311,311.0,P1,04/09/2022,São João da Barra,RJ,B
312,312.0,P1,04/09/2022,Manaus,AM,A
313,313.0,P1,04/09/2022,São Miguel Arcanjo,SP,B
314,314.0,P1,04/09/2022,Sena Madureira,AC,B
315,315.0,P1,04/09/2022,Recife,PE,A
316,316.0,P1,04/09/2022,Vila Valério,ES,B
317,317.0,P1,04/09/2022,Louveira,SP,B
318,318.0,P1,04/09/2022,Itanagra,BA,A
319,319.0,P1,04/09/2022,São Paulo,SP,B
320,320.0,P1,04/09/2022,Porteiras,CE,B
321,321.0,P1,04/09/2022,São Miguel Arcanjo,SP,A
322,322.0,P1,04/09/2022,Douradina,MS,A
323,323.0,P1,04/09/2022,Camapuã,MS,A
324,324.0,P1,04/09/2022,Pedra,PE,B
325,325.0,P1,04/09/2022,Cotriguaçu,MT,B
326,326.0,P1,04/09/2022,São Paulo,SP,A
327,327.0,P1,04/09/2022,Aracitaba,MG,A
328,328.0,P1,04/09/2022,Triunfo,PE,A
329,329.0,P1,04/09/2022,São Gonçalo,RJ,B
330,330.0,P1,04/09/2022,São Miguel Arcanjo,SP,A
331,331.0,P1,04/09/2022,Comodoro,MT,B
332,332.0,P1,04/09/2022,Santa Luzia do Paruá,MA,B
333,333.0,P1,04/09/2022,Petrópolis,RJ,B
334,334.0,P1,04/09/2022,São Domingos,SE,A
335,335.0,P1,04/09/2022,Porto dos Gaúchos,MT,B
336,336.0,P1,04/09/2022,Pareci Novo,RS,A
337,337.0,P1,04/09/2022,Guarujá,SP,B
338,338.0,P1,04/09/2022,Botucatu,SP,A
339,339.0,P1,04/09/2022,Santana do Araguaia,PA,B
340,340.0,P1,04/09/2022,Barcarena,PA,A
341,341.0,P1,04/09/2022,Pocinhos,PB,B
342,342.0,P1,04/09/2022,Santanópolis,BA,B
343,343.0,P1,04/09/2022,Brasília,DF,A
344,344.0,P1,04/09/2022,Aracaju,SE,A
345,345.0,P1,04/09/2022,Aparecida do Taboado,MS,B
346,346.0,P1,04/09/2022,Alto Alegre,RR,B
347,347.0,P1,04/09/2022,Campo Grande,MS,A
348,348.0,P1,04/09/2022,Brasília,DF,B
349,349.0,P1,04/09/2022,Santa Cruz,RN,A
350,350.0,P1,04/09/2022,Parnaíba,PI,A
351,351.0,P1,04/09/2022,Alto Parnaíba,MA,B
352,352.0,P1,04/09/2022,Belmiro Braga,MG,A
353,353.0,P1,04/09/2022,São José do Cedro,SC,B
354,354.0,P1,04/09/2022,Gurupi,TO,A
355,355.0,P1,04/09/2022,Barro Duro,PI,B
356,356.0,P1,04/09/2022,Palmas de Monte Alto,BA,A
357,357.0,P1,04/09/2022,Buíque,PE,B
358,358.0,P1,04/09/2022,Vicência,PE,B
359,359.0,P1,04/09/2022,Ouro Verde do Oeste,PR,B
360,360.0,P1,04/09/2022,Carapicuíba,SP,B
361,361.0,P1,04/09/2022,Cujubim,RO,A
362,362.0,P1,04/09/2022,Lagoa d'Anta,RN,A
363,363.0,P1,04/09/2022,Eliseu Martins,PI,B
364,364.0,P1,04/09/2022,Saquarema,RJ,A
365,365.0,P1,04/09/2022,Assis Brasil,AC,B
366,366.0,P1,04/09/2022,Entre Rios,SC,B
367,367.0,P1,04/09/2022,Almenara,MG,B
368,368.0,P1,04/09/2022,Nilópolis,RJ,A
369,369.0,P1,04/09/2022,Cotriguaçu,MT,B
370,370.0,P1,04/09/2022,Poço Redondo,SE,A
371,371.0,P1,04/09/2022,Lacerdópolis,SC,A
372,372.0,P1,04/09/2022,Nova Venécia,ES,B
373,373.0,P1,04/09/2022,Jaramataia,AL,A
374,374.0,P1,04/09/2022,Porto Velho,RO,B
375,375.0,P1,04/09/2022,Anápolis,GO,A
376,376.0,P1,04/09/2022,Visconde do Rio Branco,MG,A
377,377.0,P1,04/09/2022,Aracaju,SE,A
378,378.0,P1,04/09/2022,Francisco Morato,SP,B
379,379.0,P1,04/09/2022,Osvaldo Cruz,SP,B
380,380.0,P1,04/09/2022,Nova Mamoré,RO,B
381,381.0,P1,04/09/2022,Colômbia,SP,B
382,382.0,P1,04/09/2022,Marechal Thaumaturgo,AC,B
383,383.0,P1,04/09/2022,Nhamundá,AM,A
384,384.0,P1,04/09/2022,Alto Alegre,RR,B
385,385.0,P1,04/09/2022,Fortaleza,CE,B
386,386.0,P1,04/09/2022,Além Paraíba,MG,A
387,387.0,P1,04/09/2022,Jauru,MT,B
388,388.0,P1,04/09/2022,Anajás,PA,A
389,389.0,P1,04/09/2022,Guanhães,MG,B
390,390.0,P1,04/09/2022,Aracaju,SE,B
391,391.0,P1,04/09/2022,Forquilha,CE,A
392,392.0,P1,04/09/2022,Palmas,TO,A
393,393.0,P1,04/09/2022,Camapuã,MS,B
394,394.0,P1,04/09/2022,Cascavel,PR,B
395,395.0,P1,04/09/2022,Itaiópolis,SC,B
396,396.0,P1,04/09/2022,Laranjal do Jari,AP,A
397,397.0,P1,04/09/2022,Chapecó,SC,B
398,398.0,P1,04/09/2022,Parnamirim,RN,A
399,399.0,P1,04/09/2022,São Paulo,SP,B
400,400.0,P1,04/09/2022,São Luís,MA,B
401,401.0,P1,04/09/2022,Arapiraca,AL,B
402,402.0,P1,04/09/2022,Miranda do Norte,MA,B
403,403.0,P1,04/09/2022,Brasília,DF,A
404,404.0,P1,04/09/2022,Pitangui,MG,B
405,405.0,P1,04/09/2022,São Paulo,SP,B
406,406.0,P1,04/09/2022,Dourados,MS,B
407,407.0,P1,04/09/2022,Bom Jesus da Lapa,BA,A
408,408.0,P1,04/09/2022,Itapecerica da Serra,SP,B
409,409.0,P1,04/09/2022,Santa Quitéria do Maranhão,MA,B
410,410.0,P1,04/09/2022,Suzano,SP,B
411,411.0,P1,04/09/2022,Sousa,PB,B
412,412.0,P1,04/09/2022,Itabaiana,SE,A
413,413.0,P1,04/09/2022,Oeiras,PI,A
414,414.0,P1,04/09/2022,Douradina,MS,A
415,415.0,P1,04/09/2022,Maracaju,MS,B
416,416.0,P1,04/09/2022,Limoeiro de Anadia,AL,A
417,417.0,P1,04/09/2022,São Carlos,SC,B
418,418.0,P1,04/09/2022,Limoeiro de Anadia,AL,A
419,419.0,P1,04/09/2022,Igreja Nova,AL,A
420,420.0,P1,04/09/2022,Belmiro Braga,MG,A
421,421.0,P1,04/09/2022,Formosa,GO,B
422,422.0,P1,04/09/2022,Guarulhos,SP,A
423,423.0,P1,04/09/2022,Iracema,RR,B
424,424.0,P1,04/09/2022,Laranjal do Jari,AP,A
425,425.0,P1,04/09/2022,Novo Mundo,MT,A
426,426.0,P1,04/09/2022,Arapoema,TO,B
427,427.0,P1,04/09/2022,Inhumas,GO,A
428,428.0,P1,04/09/2022,João Câmara,RN,B
429,429.0,P1,04/09/2022,José Bonifácio,SP,A
430,430.0,P1,04/09/2022,Arraias,TO,B
431,431.0,P1,04/09/2022,Campo Grande,MS,B
432,432.0,P1,04/09/2022,Ibirataia,BA,B
433,433.0,P1,04/09/2022,Carpina,PE,B
434,434.0,P1,04/09/2022,Forquilha,CE,A
435,435.0,P1,04/09/2022,Carpina,PE,B
436,436.0,P1,04/09/2022,Campos Sales,CE,B
437,437.0,P1,04/09/2022,Cerejeiras,RO,B
438,438.0,P1,04/09/2022,Alto Alegre,RR,B
439,439.0,P1,04/09/2022,Cuiabá,MT,B
440,440.0,P1,04/09/2022,Aracaju,SE,A
441,441.0,P1,04/09/2022,Americana,SP,A
442,442.0,P1,04/09/2022,Ipubi,PE,B
443,443.0,P1,04/09/2022,Itanhaém,SP,A
444,444.0,P1,04/09/2022,Camalaú,PB,A
445,445.0,P1,04/09/2022,Codó,MA,A
446,446.0,P1,04/09/2022,Uirapuru,GO,B
447,447.0,P1,04/09/2022,Brasília,DF,B
448,448.0,P1,04/09/2022,Embaúba,SP,B
449,449.0,P1,04/09/2022,Manaus,AM,A
450,450.0,P1,04/09/2022,Macapá,AP,A
451,451.0,P1,04/09/2022,Itaoca,SP,B
452,452.0,P1,04/09/2022,Dueré,TO,B
453,453.0,P1,04/09/2022,Rio Preto da Eva,AM,A
454,454.0,P1,04/09/2022,Alegrete,RS,A
455,455.0,P1,04/09/2022,Volta Redonda,RJ,A
456,456.0,P1,04/09/2022,Rio Branco,AC,B
457,457.0,P1,04/09/2022,Campo Grande,MS,B
458,458.0,P1,04/09/2022,Caxias do Sul,RS,A
459,459.0,P1,04/09/2022,Londrina,PR,A
460,460.0,P1,04/09/2022,Iguatemi,MS,B
461,461.0,P1,04/09/2022,Maceió,AL,B
462,462.0,P1,04/09/2022,Joaçaba,SC,B
463,463.0,P1,04/09/2022,Belém,PA,B
464,464.0,P1,04/09/2022,Marabá,PA,A
465,465.0,P1,04/09/2022,São Fidélis,RJ,B
466,466.0,P1,04/09/2022,Patrocínio,MG,A
467,467.0,P1,04/09/2022,Manaus,AM,A
468,468.0,P1,04/09/2022,São Simão,GO,B
469,469.0,P1,04/09/2022,Rodrigues Alves,AC,B
470,470.0,P1,04/09/2022,Manaquiri,AM,B
471,471.0,P1,04/09/2022,Porto Walter,AC,B
472,472.0,P1,04/09/2022,São Miguel Arcanjo,SP,B
473,473.0,P1,04/09/2022,Moju,PA,A
474,474.0,P1,04/09/2022,Euclides da Cunha,BA,A
475,475.0,P1,04/09/2022,João Pessoa,PB,A
476,476.0,P1,04/09/2022,Anadia,AL,A
477,477.0,P1,04/09/2022,São Paulo,SP,B
478,478.0,P1,04/09/2022,Brasília,DF,A
479,479.0,P1,04/09/2022,Curuçá,PA,A
480,480.0,P1,04/09/2022,Paço do Lumiar,MA,A
481,481.0,P1,04/09/2022,Mari,PB,B
482,482.0,P1,04/09/2022,São Paulo,SP,B
483,483.0,P1,04/09/2022,Sorocaba,SP,B
484,484.0,P1,04/09/2022,Areia Branca,SE,A
485,485.0,P1,04/09/2022,Anajás,PA,B
486,486.0,P1,04/09/2022,Cambará,PR,B
487,487.0,P1,04/09/2022,Laranja da Terra,ES,A
488,488.0,P1,04/09/2022,Boquim,SE,B
489,489.0,P1,04/09/2022,Vila Valério,ES,B
490,490.0,P1,04/09/2022,Pirangi,SP,A
