ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P3;18/09/2022;Abaeté;MG;B
P3;18/09/2022;Cametá;PA;B
P3;18/09/2022;São Pedro de Alcântara;SC;B
P3;18/09/2022;Normandia;RR;B
P3;18/09/2022;Patos de Minas;MG;A
P3;18/09/2022;Taquarussu;MS;B
P3;18/09/2022;Mâncio Lima;AC;B
P3;18/09/2022;Boa Vista;RR;B
P3;18/09/2022;Itabuna;BA;A
P3;18/09/2022;Quixadá;CE;A
P3;18/09/2022;Curionópolis;PA;B
P3;18/09/2022;Campo Grande;MS;B
P3;18/09/2022;São Felipe D'Oeste;RO;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Antônio João;MS;B
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Campo do Tenente;PR;A
P3;18/09/2022;Coronel Sapucaia;MS;A
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Cruzmaltina;PR;B
P3;18/09/2022;Deodápolis;MS;B
P3;18/09/2022;Rondolândia;MT;B
P3;18/09/2022;Goiânia;GO;B
P3;18/09/2022;Jaraguari;MS;B
P3;18/09/2022;Natuba;PB;A
P3;18/09/2022;Santa Bárbara;MG;A
P3;18/09/2022;Sinop;MT;B
P3;18/09/2022;Terenos;MS;B
P3;18/09/2022;Bacabal;MA;B
P3;18/09/2022;Teófilo Otoni;MG;B
P3;18/09/2022;São Gonçalo;RJ;A
P3;18/09/2022;Manaquiri;AM;A
P3;18/09/2022;Araquari;SC;B
P3;18/09/2022;Jaguaretama;CE;A
P3;18/09/2022;Campo Bom;RS;A
P3;18/09/2022;Várzea Grande;MT;B
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Maranguape;CE;B
P3;18/09/2022;Boa Vista;RR;A
P3;18/09/2022;Rio Branco;AC;A
P3;18/09/2022;Camapuã;MS;B
P3;18/09/2022;Santa Cruz do Capibaribe;PE;A
P3;18/09/2022;Cotriguaçu;MT;A
P3;18/09/2022;Caracaraí;RR;B
P3;18/09/2022;São Borja;RS;B
P3;18/09/2022;São Bento;PB;A
P3;18/09/2022;Magé;RJ;A
P3;18/09/2022;Oliveira dos Brejinhos;BA;A
P3;18/09/2022;São José dos Basílios;MA;A
P3;18/09/2022;Pejuçara;RS;A
P3;18/09/2022;Assis Brasil;AC;B
P3;18/09/2022;Maceió;AL;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Sumidouro;RJ;B
P3;18/09/2022;Silva Jardim;RJ;B
P3;18/09/2022;Itatuba;PB;B
P3;18/09/2022;Campo Grande;MS;A
P3;18/09/2022;Itapetinga;BA;B
P3;18/09/2022;Rio das Ostras;RJ;A
P3;18/09/2022;Bom Jesus das Selvas;MA;A
P3;18/09/2022;Água Boa;MT;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Riachuelo;SE;B
P3;18/09/2022;Manaquiri;AM;B
P3;18/09/2022;São José dos Basílios;MA;B
P3;18/09/2022;Rio de Janeiro;RJ;B
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Terra Alta;PA;A
P3;18/09/2022;Paulista;PE;A
P3;18/09/2022;São José;SC;B
P3;18/09/2022;Traipu;AL;A
P3;18/09/2022;Bonito;PA;B
P3;18/09/2022;Mâncio Lima;AC;B
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Bannach;PA;B
P3;18/09/2022;Tanque do Piauí;PI;A
P3;18/09/2022;Dois Irmãos do Tocantins;TO;A
P3;18/09/2022;Granito;PE;B
P3;18/09/2022;Pejuçara;RS;B
P3;18/09/2022;Parnarama;MA;A
P3;18/09/2022;Monsenhor Tabosa;CE;A
P3;18/09/2022;Assunção do Piauí;PI;B
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Barras;PI;A
P3;18/09/2022;Frutuoso Gomes;RN;A
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Anápolis;GO;A
P3;18/09/2022;Cabo de Santo Agostinho;PE;B
P3;18/09/2022;Rodrigues Alves;AC;B
P3;18/09/2022;Aracaju;SE;B
P3;18/09/2022;Caraíbas;BA;B
P3;18/09/2022;Ji-Paraná;RO;B
P3;18/09/2022;Francisco Alves;PR;B
P3;18/09/2022;Chapada da Natividade;TO;B
P3;18/09/2022;Cajazeiras;PB;A
P3;18/09/2022;Talismã;TO;B
P3;18/09/2022;São Miguel Arcanjo;SP;B
P3;18/09/2022;Amparo do São Francisco;SE;B
P3;18/09/2022;Vila Velha;ES;B
P3;18/09/2022;Pimenta Bueno;RO;A
P3;18/09/2022;Parnamirim;RN;A
P3;18/09/2022;Itororó;BA;A
P3;18/09/2022;Figueirópolis;TO;B
P3;18/09/2022;Presidente Epitácio;SP;A
P3;18/09/2022;Laranjal do Jari;AP;B
P3;18/09/2022;Talismã;TO;A
P3;18/09/2022;Epitaciolândia;AC;B
P3;18/09/2022;Talismã;TO;B
P3;18/09/2022;Rio Branco;AC;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Ponte Branca;MT;B
P3;18/09/2022;Rio Branco;AC;B
P3;18/09/2022;Manaus;AM;B
P3;18/09/2022;Jaqueira;PE;A
P3;18/09/2022;Campo Novo do Parecis;MT;B
P3;18/09/2022;Landri Sales;PI;B
P3;18/09/2022;Serra do Mel;RN;A
P3;18/09/2022;Central do Maranhão;MA;B
P3;18/09/2022;Anicuns;GO;B
P3;18/09/2022;Aracaju;SE;A
P3;18/09/2022;Balsas;MA;A
P3;18/09/2022;Novo Oriente;CE;A
P3;18/09/2022;Divina Pastora;SE;A
P3;18/09/2022;Vitória;ES;B
P3;18/09/2022;Camboriú;SC;A
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Goiânia;GO;A
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Aracaju;SE;A
P3;18/09/2022;Talismã;TO;B
P3;18/09/2022;Maraã;AM;B
P3;18/09/2022;Rio das Ostras;RJ;B
P3;18/09/2022;Jericó;PB;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Recife;PE;A
P3;18/09/2022;São Joaquim;SC;B
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Serra de São Bento;RN;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Goiânia;GO;B
P3;18/09/2022;Barbalha;CE;A
P3;18/09/2022;Algodão de Jandaíra;PB;B
P3;18/09/2022;Traipu;AL;B
P3;18/09/2022;Grajaú;MA;A
P3;18/09/2022;Malta;PB;A
P3;18/09/2022;Quixaba;PE;A
P3;18/09/2022;Igaci;AL;B
P3;18/09/2022;Mossoró;RN;A
P3;18/09/2022;Nova Petrópolis;RS;A
P3;18/09/2022;Salvador;BA;A
P3;18/09/2022;Flor do Sertão;SC;B
P3;18/09/2022;Eliseu Martins;PI;A
P3;18/09/2022;Malhada;BA;A
P3;18/09/2022;Pracuúba;AP;B
P3;18/09/2022;Arapiraca;AL;B
P3;18/09/2022;Buriticupu;MA;B
P3;18/09/2022;Várzea Grande;MT;B
P3;18/09/2022;Alto Alegre;RR;B
P3;18/09/2022;Manaquiri;AM;B
P3;18/09/2022;Paudalho;PE;B
P3;18/09/2022;Colatina;ES;B
P3;18/09/2022;Vale de São Domingos;MT;B
P3;18/09/2022;Nilópolis;RJ;B
P3;18/09/2022;Tarauacá;AC;B
P3;18/09/2022;Gramado Xavier;RS;B
P3;18/09/2022;Guaraciaba;SC;A
P3;18/09/2022;Macapá;AP;A
P3;18/09/2022;Lábrea;AM;B
P3;18/09/2022;Tucuruí;PA;A
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Uberlândia;MG;B
P3;18/09/2022;Limoeiro de Anadia;AL;B
P3;18/09/2022;Porto Walter;AC;B
P3;18/09/2022;Imaruí;SC;B
P3;18/09/2022;Surubim;PE;B
P3;18/09/2022;Vila Valério;ES;B
P3;18/09/2022;Piatã;BA;A
P3;18/09/2022;Sete Lagoas;MG;B
P3;18/09/2022;Maruim;SE;A
P3;18/09/2022;São José da Lagoa Tapada;PB;A
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Jatobá;PE;A
P3;18/09/2022;Bento Gonçalves;RS;A
P3;18/09/2022;Arês;RN;B
P3;18/09/2022;Manaquiri;AM;A
P3;18/09/2022;Tartarugalzinho;AP;A
P3;18/09/2022;Alto Alegre;RR;B
P3;18/09/2022;Alto Alegre;RR;B
P3;18/09/2022;Cuiabá;MT;B
P3;18/09/2022;Araguaína;TO;A
P3;18/09/2022;Jardim do Seridó;RN;A
P3;18/09/2022;Ipixuna;AM;A
P3;18/09/2022;Santa Luzia;MA;B
P3;18/09/2022;Mirandiba;PE;A
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Rio de Janeiro;RJ;A
P3;18/09/2022;Talismã;TO;B
P3;18/09/2022;Mutuípe;BA;B
P3;18/09/2022;Alto do Rodrigues;RN;A
P3;18/09/2022;Porto Velho;RO;A
P3;18/09/2022;Chapadão do Lageado;SC;A
P3;18/09/2022;Ribeirão das Neves;MG;A
P3;18/09/2022;Ji-Paraná;RO;B
P3;18/09/2022;Nossa Senhora do Socorro;SE;A
P3;18/09/2022;Itatira;CE;B
P3;18/09/2022;Umarizal;RN;A
P3;18/09/2022;Manaus;AM;B
P3;18/09/2022;Recife;PE;A
P3;18/09/2022;Formosa;GO;B
P3;18/09/2022;Porto Alegre do Tocantins;TO;B
P3;18/09/2022;Salinas da Margarida;BA;A
P3;18/09/2022;Talismã;TO;B
P3;18/09/2022;Porteirinha;MG;A
P3;18/09/2022;Duque de Caxias;RJ;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Campos Novos;SC;A
P3;18/09/2022;São Francisco do Guaporé;RO;B
P3;18/09/2022;Aquidabã;SE;B
P3;18/09/2022;Monte Horebe;PB;B
P3;18/09/2022;Campo Novo do Parecis;MT;A
P3;18/09/2022;Santana;AP;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Passagem;PB;A
P3;18/09/2022;Guaraí;TO;B
P3;18/09/2022;Salvador;BA;A
P3;18/09/2022;Santana do Cariri;CE;A
P3;18/09/2022;Jaru;RO;A
P3;18/09/2022;Belém;PA;B
P3;18/09/2022;Macaé;RJ;A
P3;18/09/2022;Aquidabã;SE;B
P3;18/09/2022;Jardim do Seridó;RN;A
P3;18/09/2022;Goianira;GO;B
P3;18/09/2022;Marataízes;ES;B
P3;18/09/2022;Cruz Machado;PR;A
P3;18/09/2022;Serra Nova Dourada;MT;A
P3;18/09/2022;Ribeirão Pires;SP;A
P3;18/09/2022;Laranjal do Jari;AP;A
P3;18/09/2022;#N/D;#N/D;#N/D
P3;18/09/2022;Maruim;SE;A
P3;18/09/2022;Aragarças;GO;B
P3;18/09/2022;Coruripe;AL;B
P3;18/09/2022;Criciúma;SC;A
P3;18/09/2022;Mato Verde;MG;B
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Feijó;AC;A
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Paulo Jacinto;AL;B
P3;18/09/2022;Vespasiano;MG;B
P3;18/09/2022;Itaporanga d'Ajuda;SE;A
P3;18/09/2022;Parnamirim;RN;A
P3;18/09/2022;Lagarto;SE;B
P3;18/09/2022;Laranjal do Jari;AP;A
P3;18/09/2022;Porto Xavier;RS;A
P3;18/09/2022;Coromandel;MG;B
P3;18/09/2022;Limoeiro de Anadia;AL;A
P3;18/09/2022;Carlópolis;PR;A
P3;18/09/2022;Rondolândia;MT;A
P3;18/09/2022;Porto Walter;AC;B
P3;18/09/2022;Maringá;PR;B
P3;18/09/2022;Acorizal;MT;B
P3;18/09/2022;Catuípe;RS;B
P3;18/09/2022;Epitaciolândia;AC;B
P3;18/09/2022;Betim;MG;B
P3;18/09/2022;Caruaru;PE;B
P3;18/09/2022;Camalaú;PB;B
P3;18/09/2022;Cruzmaltina;PR;B
P3;18/09/2022;Mucajaí;RR;B
P3;18/09/2022;Nilópolis;RJ;A
P3;18/09/2022;São José dos Basílios;MA;A
P3;18/09/2022;Teresina;PI;B
P3;18/09/2022;Aquidabã;SE;B
P3;18/09/2022;Ribeirão Pires;SP;A
P3;18/09/2022;Vila Velha;ES;A
P3;18/09/2022;Chapada do Norte;MG;A
P3;18/09/2022;Carangola;MG;B
P3;18/09/2022;Santa Helena;MA;A
P3;18/09/2022;Sena Madureira;AC;B
P3;18/09/2022;Rio Negro;MS;A
P3;18/09/2022;Soure;PA;B
P3;18/09/2022;Goianésia;GO;B
P3;18/09/2022;Novo Cabrais;RS;A
P3;18/09/2022;Rio Maria;PA;A
P3;18/09/2022;Cantá;RR;B
P3;18/09/2022;Iracema;RR;B
P3;18/09/2022;Ji-Paraná;RO;A
P3;18/09/2022;Uberaba;MG;B
P3;18/09/2022;Soure;PA;B
P3;18/09/2022;Flexeiras;AL;B
P3;18/09/2022;Araguaína;TO;B
P3;18/09/2022;Cabaceiras;PB;A
P3;18/09/2022;Serra;ES;A
P3;18/09/2022;Parnamirim;RN;A
P3;18/09/2022;Manaus;AM;B
P3;18/09/2022;Nortelândia;MT;A
P3;18/09/2022;Mata Grande;AL;B
P3;18/09/2022;Guarapari;ES;B
P3;18/09/2022;Barra Mansa;RJ;A
P3;18/09/2022;Tianguá;CE;B
P3;18/09/2022;Bom Jesus do Tocantins;TO;A
P3;18/09/2022;Madalena;CE;A
P3;18/09/2022;Viçosa;MG;A
P3;18/09/2022;Urandi;BA;A
P3;18/09/2022;Campo Alegre de Lourdes;BA;A
P3;18/09/2022;Portão;RS;A
P3;18/09/2022;Portão;RS;B
P3;18/09/2022;Canaã dos Carajás;PA;A
P3;18/09/2022;Aguiarnópolis;TO;B
P3;18/09/2022;José de Freitas;PI;A
P3;18/09/2022;Alto Alegre;RR;B
P3;18/09/2022;Cotriguaçu;MT;A
P3;18/09/2022;Cambará;PR;B
P3;18/09/2022;Caturama;BA;B
P3;18/09/2022;Igarapé;MG;A
P3;18/09/2022;Neópolis;SE;A
P3;18/09/2022;Nova Iguaçu;RJ;A
P3;18/09/2022;Tanque do Piauí;PI;B
P3;18/09/2022;Lagoa Real;BA;A
P3;18/09/2022;Vargem Grande do Rio Pardo;MG;B
P3;18/09/2022;Várzea Alegre;CE;A
P3;18/09/2022;São Fidélis;RJ;A
P3;18/09/2022;Ubatã;BA;B
P3;18/09/2022;Manaus;AM;A
P3;18/09/2022;Silves;AM;A
P3;18/09/2022;Forquilha;CE;A
P3;18/09/2022;Goiânia;GO;A
P3;18/09/2022;Rio Brilhante;MS;B
P3;18/09/2022;Bacuri;MA;A
P3;18/09/2022;Uberaba;MG;A
P3;18/09/2022;Conceição da Barra;ES;B
P3;18/09/2022;Natal;RN;B
P3;18/09/2022;Peixe-Boi;PA;B
P3;18/09/2022;Remígio;PB;B
P3;18/09/2022;Vila Valério;ES;A
P3;18/09/2022;Boa Vista;RR;B
P3;18/09/2022;Jaru;RO;A
P3;18/09/2022;Rio de Janeiro;RJ;A
P3;18/09/2022;Goiânia;GO;B
P3;18/09/2022;Limoeiro de Anadia;AL;A
P3;18/09/2022;Porto Nacional;TO;B
P3;18/09/2022;Epitaciolândia;AC;B
P3;18/09/2022;Solidão;PE;A
P3;18/09/2022;Bilac;SP;A
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Rondolândia;MT;B
P3;18/09/2022;Porto Velho;RO;A
P3;18/09/2022;João Pessoa;PB;A
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Cruzmaltina;PR;A
P3;18/09/2022;Teófilo Otoni;MG;A
P3;18/09/2022;Palhoça;SC;A
P3;18/09/2022;Santana;AP;A
P3;18/09/2022;Nossa Senhora do Socorro;SE;A
P3;18/09/2022;Epitaciolândia;AC;B
P3;18/09/2022;Mococa;SP;A
P3;18/09/2022;Muqui;ES;A
P3;18/09/2022;Rio Preto da Eva;AM;A
P3;18/09/2022;Ribeirão Preto;SP;A
P3;18/09/2022;São Vicente;SP;B
P3;18/09/2022;Senador Guiomard;AC;B
P3;18/09/2022;Darcinópolis;TO;B
P3;18/09/2022;Calçoene;AP;A
P3;18/09/2022;Jaboatão dos Guararapes;PE;A
P3;18/09/2022;São Cristóvão;SE;A
P3;18/09/2022;Piúma;ES;A
P3;18/09/2022;Vargem Grande do Sul;SP;B
P3;18/09/2022;Lajeado;RS;B
P3;18/09/2022;Juazeiro do Norte;CE;B
P3;18/09/2022;Orlândia;SP;A
P3;18/09/2022;Cascavel;PR;B
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Pedro Alexandre;BA;A
P3;18/09/2022;Belo Horizonte;MG;B
P3;18/09/2022;Manaus;AM;A
P3;18/09/2022;Laranjal do Jari;AP;B
P3;18/09/2022;Maracanaú;CE;A
P3;18/09/2022;Campo Grande;MS;B
P3;18/09/2022;São José das Palmeiras;PR;B
P3;18/09/2022;Castanheiras;RO;B
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Chapadão do Lageado;SC;A
P3;18/09/2022;Pimenta Bueno;RO;B
P3;18/09/2022;São Bento;MA;A
P3;18/09/2022;Brasília;DF;B
P3;18/09/2022;Aracaju;SE;A
